epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,630.084,0.68225,0.62586,0.98403,0.73683,0.81492,0.82995,0.65694,0.78079,0.79756,1.09255,0.00051304,0.00051304,0.00051304
68,639.454,0.68423,0.65894,0.98349,0.77304,0.76689,0.80473,0.63092,0.81045,0.82353,1.11366,0.00050704,0.00050704,0.00050704
69,648.729,0.70086,0.61613,0.99421,0.78656,0.71906,0.786,0.61423,0.80075,0.90779,1.10657,0.000501041,0.000501041,0.000501041
70,657.996,0.67294,0.62768,0.97881,0.79448,0.70446,0.79228,0.6047,0.85019,0.93189,1.1142,0.000495041,0.000495041,0.000495041
71,667.272,0.66594,0.59489,0.97238,0.82029,0.76128,0.8229,0.63916,0.82625,0.7723,1.10731,0.000489042,0.000489042,0.000489042
72,676.552,0.66192,0.61025,0.97031,0.82378,0.7704,0.81293,0.63872,0.80703,0.855,1.09946,0.000483043,0.000483043,0.000483043
73,685.808,0.66333,0.60363,0.96505,0.78725,0.76287,0.8129,0.63853,0.79389,0.84286,1.10142,0.000477043,0.000477043,0.000477043
74,695.083,0.67928,0.63022,0.99004,0.77029,0.77197,0.82064,0.64574,0.80397,0.80477,1.10525,0.000471044,0.000471044,0.000471044
75,704.368,0.6726,0.60309,0.97622,0.77941,0.78284,0.82544,0.63765,0.82932,0.83352,1.12944,0.000465044,0.000465044,0.000465044
76,713.629,0.64063,0.5895,0.96377,0.75338,0.76082,0.80746,0.63652,0.80683,0.86292,1.11331,0.000459045,0.000459045,0.000459045
77,722.906,0.62723,0.55417,0.94373,0.81239,0.75807,0.81404,0.63301,0.8254,0.83089,1.11687,0.000453046,0.000453046,0.000453046
78,732.162,0.66241,0.58855,0.97224,0.84693,0.71726,0.7941,0.61897,0.83038,0.90105,1.10636,0.000447046,0.000447046,0.000447046
79,741.433,0.64788,0.58222,0.96752,0.8085,0.77869,0.82482,0.64531,0.81568,0.75299,1.09523,0.000441047,0.000441047,0.000441047
80,750.687,0.61965,0.55553,0.95596,0.83307,0.74621,0.81267,0.63205,0.84215,0.77474,1.10922,0.000435047,0.000435047,0.000435047
81,759.95,0.62833,0.56344,0.95312,0.83548,0.77856,0.82417,0.64384,0.79545,0.76494,1.09087,0.000429048,0.000429048,0.000429048
82,769.208,0.58548,0.50917,0.92944,0.83749,0.78948,0.83216,0.65738,0.77029,0.76308,1.07828,0.000423049,0.000423049,0.000423049
83,778.589,0.62733,0.54343,0.95062,0.83784,0.74531,0.80715,0.64127,0.76185,0.75001,1.06653,0.000417049,0.000417049,0.000417049
84,787.844,0.61336,0.53687,0.94248,0.80836,0.79936,0.82548,0.65377,0.76949,0.76993,1.07438,0.00041105,0.00041105,0.00041105
85,797.092,0.62925,0.56486,0.94096,0.80501,0.79333,0.82742,0.65164,0.76855,0.72753,1.07247,0.00040505,0.00040505,0.00040505
